Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open !,04/07/2023 2:35,,CA,USA,Orb,"3 orbs of light, similar to stars or planets. They would glow bright and then fade. They were stationary and then would reposition.",04/07/2023,,
Open,04/04/2023 21:00,Sherrills Ford,NC,USA,Unknown,Waiting to watch the ISS fly by we spotted an object traveling west with two blinking green lights...it stopped hovered and flew off,04/04/2023,,
Open !,03/27/2023 23:15,"Boarder of Colorado, Utah and Wyoming",CO,USA,Light,"3 lights forming a triangle, converging, disappearing. Then reappearing forming a triangle, converging then disappearing again.",03/28/2023,,
Open !,03/10/2023 12:00,,,Unspecified,Orb,Extremely bright light that would fade in and out at high velocity in apparent sporadic tracks over the Pacific Ocean,03/15/2023,,
Open !,03/07/2023 3:40,Waco,TX,USA,Light,"One single slowly pulsing very bright light then multiple lights moving erratically (staying stationary, changing direction rapidly)",03/07/2023,Y,
Open !,03/05/2023 3:30,,-,USA,Formation,Four to five pulsating bright lights that would fade in and out and would move around each other.,03/05/2023,,
Open !,02/27/2023 19:54,Atlanta,GA,USA,Cylinder,UAP spotted over Atlanta from 37000 feet,03/08/2023,Y,
Open,02/19/2023 20:58,Waterford,MI,USA,Orb,"Bright white light orbs with green edges, very bright and rocketing very fast towards the ground west of PTK airport",02/19/2023,,
Open !,02/09/2023 3:45,Montgomery,AL,USA,Sphere,We saw at least 10 bright starlight looking objects that flew fast and in various directions. Multiple other pilots on guard saw them,02/09/2023,,
Open,01/09/2023 4:05,Joplin,MO,USA,Light,White light moving left and right slowly cycling bright to dim,01/09/2023,,
Open !,11/09/2022 20:15,"Arrival into Eugene, OR",OR,USA,Light,Sighting of one to two extremely bright maneuvering lights at extreme distance and elevation.,01/09/2023,,
Open !,10/11/2022 22:17,Denver,CO,USA,Orb,Multiple sightings of maneuvering orbs,04/10/2023,Y,
Open !,08/29/2022 22:36,Haubstadt,IN,USA,Rectangle,I am a airline pilot. We were at 38000 ft when encountered,11/13/2023,Y,
Open !,08/24/2022 15:30,Gallipolis,OH,USA,Egg,"It was gold in color, stationary over the runway, then it shot off like a bullet to the North.",04/22/2023,,
Open,08/15/2022 16:29,Lawndale,CA,USA,Circle,"While trying to analyze my golf swing, I caught the subject accidentally",08/02/2024,Y,
Open,07/10/2022 15:33,Festus,MO,USA,Unknown,Skydiver/pilot witness craft passing by during climb up.,02/14/2024,Y,
