Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,12/29/2023 3:30,,,International Waters,Circle,Flying objects doing different elliptical orbits,12/29/2023,Y,
Open,12/28/2023 19:00,Tehachapi,CA,USA,Other,3 objects appearing shortly after shooting star event,12/29/2023,,Meteor?
Open !,12/26/2023 20:40,Bunnell,FL,USA,Changing,What appeared as bright star like points of light which would suddenly appear increasing in brightness and then fade away.,12/27/2023,Y,
Open !,12/23/2023 3:30,,,International Waters,Light,"Objects at very high altitude (greater than 50,000' MSL) maneuvering and emitting white light that gradually varied from bright to dim",01/04/2024,,
Open !,12/20/2023 3:00,Horace,KS,USA,Unknown,4 white lights of changing intensity resembling stars moving in a portion of the night sky.,12/20/2023,Y,
Open !,12/16/2023 22:45,Little Rock,AR,USA,Light,5 Lights Moving Rapidly and Changing Direction,01/14/2024,,
Open !,12/14/2023 19:45,Pawleys Island,SC,USA,Triangle,4-5 orange solid lights arranged in a triangle shape,12/14/2023,,
Open,12/14/2023 17:40,Fingerville,SC,USA,Light,"Light was observed, likely stationary then it just extinguished and disappeared",12/17/2023,Y,
Open,11/24/2023 14:00,Odell,IL,USA,Sphere,We saw a 10’ black ball off our right wing at 5500’.,11/26/2023,Y,
Open !,11/21/2023 20:30,Stillwater,OK,USA,Light,As many as 4 lights were simultaneously observed corroborated with no less than 6-7 other aircraft on Denver Center,11/21/2023,Y,
Open !,11/21/2023 19:00,Oklahoma City,OK,USA,Light,Points of light maneuvering in upper atmosphere,11/23/2023,Y,
Open !,11/13/2023 20:20,Cheyenne,WY,USA,Light,Saw a light go from dim to very bright,11/16/2023,,
